run_id,stage,arch,technique,fold,seed,epoch,global_step,samples_seen,ts_start,ts_end,iso_start,iso_end,account,worker_id,session_id,host,config_hash,lib_version,train_loss,train_acc,val_loss,lr_group0,grad_norm_mean,grad_norm_max,grad_norm_p50,grad_norm_p95,grad_norm_p99,grad_clip_hit_rate,weight_norm_total,update_to_weight_ratio,amp_scale,amp_scale_decreases,nan_or_inf_batches,epoch_seconds,train_seconds,val_seconds,dataload_seconds,compute_seconds,backward_seconds,optimizer_seconds,dataload_frac,step_time_mean,step_time_p50,step_time_p90,step_time_p99,images_per_second,n_params_total,n_params_trainable,wall_seconds_cumulative,energy_joules_cumulative,epochs_planned,cfg_input_resolution,cfg_batch_size,cfg_head_type,cfg_loss_name,cfg_label_smoothing,cfg_sampler_name,cfg_optimizer_name,cfg_lr_initial,cfg_weight_decay,cfg_scheduler_name,cfg_warmup_epochs,cfg_max_epochs,cfg_grad_clip,cfg_pretrained,cfg_finetune_depth,cfg_preprocessing,cfg_roi_mode,cfg_augment_policy,cfg_precision,cfg_num_workers,cfg_arch,cfg_fold,cfg_seed,cfg_technique,cfg_stage,cfg_config_hash,val_acc,val_balanced_acc,val_f1_macro,val_f1_micro,val_f1_weighted,val_precision_macro,val_recall_macro,val_f1_low,val_recall_low,val_precision_low,val_support_low,val_f1_mid,val_recall_mid,val_precision_mid,val_support_mid,val_f1_high,val_recall_high,val_precision_high,val_support_high,val_qwk,val_mae_class,val_cohen_kappa,val_mcc,val_nll,val_brier,val_mean_confidence,val_mean_confidence_correct,val_mean_confidence_incorrect,val_overconfidence_gap,val_ece,val_mce,val_ace,gpu0_util_mean,gpu0_util_max,gpu0_util_p50,gpu0_mem_used_mb_mean,gpu0_mem_used_mb_peak,gpu0_temp_c_mean,gpu0_temp_c_max,gpu0_power_w_mean,gpu0_power_w_max,gpu0_sm_clock_mhz_mean,gpu0_mem_clock_mhz_mean,gpu0_throttle_reasons,gpu0_energy_joules_epoch,gpu0_energy_joules_cumulative,gpu1_util_mean,gpu1_util_max,gpu1_util_p50,gpu1_mem_used_mb_mean,gpu1_mem_used_mb_peak,gpu1_temp_c_mean,gpu1_temp_c_max,gpu1_power_w_mean,gpu1_power_w_max,gpu1_sm_clock_mhz_mean,gpu1_mem_clock_mhz_mean,gpu1_throttle_reasons,gpu1_energy_joules_epoch,gpu1_energy_joules_cumulative,cpu_percent_mean,cpu_percent_max,ram_used_gb_mean,ram_used_gb_peak,ram_percent_peak,proc_rss_gb_mean,proc_rss_gb_peak,proc_vms_gb_peak,swap_used_gb_peak,energy_joules_epoch,energy_wh_epoch,co2_g_epoch,carbon_intensity_g_per_kwh,power_sample_count,gpu0_name,gpu0_mem_total_mb,gpu0_power_limit_w,gpu0_uuid,gpu1_name,gpu1_mem_total_mb,gpu1_power_limit_w,gpu1_uuid,gpu_driver,val_acc_session_mileage_090000__session_001,val_n_session_mileage_090000__session_001,val_acc_session_mileage_100000_plus__session_002,val_n_session_mileage_100000_plus__session_002,val_acc_session_mileage_100000_plus__session_004,val_n_session_mileage_100000_plus__session_004,val_acc_session_new_tire__session_001,val_n_session_new_tire__session_001
a-resnet50-base-f0-s3,a,resnet50,base,0,3,1,79,2528,1787783175.9013257,1787783224.4853923,2026-08-26T22:26:15Z,2026-08-26T22:27:04Z,acct2,1,d5f974,Interactive,0e7bb4fc52eb,v2,0.6561629410031475,0.4723101265822785,0.5791639397221227,6e-05,inf,inf,0.7992052435874939,1.1903517127037044,inf,0.0126582278481012,1095.477621245843,inf,32768.0,1,0,48.56044793128967,43.862704277038574,4.694746017456055,15.993975400924684,26.8698046207428,24.530503511428837,0.7353763580322266,0.3293621884121676,0.3508548223519627,0.2743167877197265,0.2770092010498047,1.6157721805572445,57.63438533185396,23512130,23512130,48.56044793128967,3050.240573127981,60,384,32,coral,coral_bce,0.0,session_balanced,adamw,0.0003,0.05,cosine,5,60,5.0,True,full,raw,full_frame,dataset_v1_1,fp16,2,resnet50,0,3,base,a,0e7bb4fc52eb,0.4623655913978494,0.4527363184079602,0.3603479853479854,0.4623655913978494,0.374527354366064,0.4609053497942386,0.4527363184079602,0.5274725274725275,0.3582089552238806,1.0,67,0.0,0.0,0.0,57,0.5535714285714286,1.0,0.382716049382716,62,0.2897448724362181,0.7688172043010753,0.1893305439330543,0.3247249332822426,0.920679773069264,0.5701235565911575,0.4624149360323465,0.4842192495978156,0.4436632263660431,4.934463449707272e-05,0.2496384814862282,0.4005172145816515,0.2496384814862282,45.93181818181818,99.0,50.5,5693.916625454545,7131.561984,76.88636363636364,80.0,56.30381818181817,105.517,1229.3181818181818,5000.0,4.0,2588.254629771706,2594.6214363992176,0.0,0.0,0.0,473.1043839999999,473.104384,35.20454545454545,36.0,9.47375,9.956,300.0,405.0,1.0,461.9859433562752,464.0833204283711,64.37727272727273,78.2,3.1977497134545447,3.610517504,13.2,2.645067869090909,2.664968192,28.350836736,0.0,3050.240573127981,0.8472890480911058,0.6041170912889585,713.0,806,Tesla T4,16106.12736,70.0,GPU-a33bf8c2-746f-e912-2269-a8e9d6d97464,Tesla T4,16106.12736,70.0,GPU-c86cdc1f-6697-5b59-64a5-dc94cdb433c9,580.159.04,0.0,57,1.0,2,1.0,60,0.3582089552238806,67
a-resnet50-base-f0-s3,a,resnet50,base,0,3,2,158,5056,1787783225.3630197,1787783268.4461913,2026-08-26T22:27:05Z,2026-08-26T22:27:48Z,acct2,1,d5f974,Interactive,0e7bb4fc52eb,v2,0.3503596110245849,0.92998417721519,0.1066531420394938,0.0001199999999999,0.7888675083087969,2.795971632003784,0.7426598072052002,1.1493465065956114,1.6382962822914109,0.0,1095.141414488148,8.644007042807356e-08,32768.0,0,0,43.066030502319336,39.112924337387085,3.951713800430298,17.20713973045349,20.88043546676636,19.35836672782898,0.7613673210144043,0.3995524902051698,0.2754874863202058,0.2742607593536377,0.2769540309906005,0.3060928440093993,64.63336717534942,23512130,23512130,91.626478433609,5797.507963629952,60,384,32,coral,coral_bce,0.0,session_balanced,adamw,0.0003,0.05,cosine,5,60,5.0,True,full,raw,full_frame,dataset_v1_1,fp16,2,resnet50,0,3,base,a,0e7bb4fc52eb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,67,1.0,1.0,1.0,57,1.0,1.0,1.0,62,1.0,0.0,1.0,1.0,0.1697566787069524,0.0429514962527564,0.846153183649945,0.846153183649945,,-0.153846816350055,0.153846816350055,0.2769837975502014,0.153846816350055,62.3,99.0,72.5,5686.519398400001,5797.773312,76.875,80.0,53.9269,87.339,1240.125,5000.0,4.0,2337.486992656943,4972.192477415793,0.0,0.0,0.0,473.104384,473.104384,35.15,36.0,9.5049,10.353,300.0,405.0,1.0,409.7803978450287,883.1705467543587,67.2825,78.5,3.650316492800001,3.8095872,13.8,2.7450734592,2.762682368,26.434945024,0.0,2747.267390501972,0.7631298306949922,0.5441115692855294,713.0,714,Tesla T4,16106.12736,70.0,GPU-a33bf8c2-746f-e912-2269-a8e9d6d97464,Tesla T4,16106.12736,70.0,GPU-c86cdc1f-6697-5b59-64a5-dc94cdb433c9,580.159.04,1.0,57,1.0,2,1.0,60,1.0,67
a-resnet50-base-f0-s3,a,resnet50,base,0,3,3,237,7584,1787783270.099798,1787783313.3261397,2026-08-26T22:27:50Z,2026-08-26T22:28:33Z,acct2,1,d5f974,Interactive,0e7bb4fc52eb,v2,0.0382449982357741,0.9984177215189872,0.0151466684796476,0.0001799999999999,0.2520442667263972,0.9417755007743835,0.1899139732122421,0.6849234580993644,0.8893434107303618,0.0,1094.5654895434006,4.144838152139878e-08,32768.0,0,0,43.20928716659546,39.26376438140869,3.943352460861206,17.353887796401978,20.899254083633423,19.455541849136356,0.7609450817108154,0.4016240242402805,0.2755120162722431,0.2744426727294922,0.277288818359375,0.2956226253509521,64.38506444371907,23512130,23512130,134.83576560020447,8557.840016013379,60,384,32,coral,coral_bce,0.0,session_balanced,adamw,0.0003,0.05,cosine,5,60,5.0,True,full,raw,full_frame,dataset_v1_1,fp16,2,resnet50,0,3,base,a,0e7bb4fc52eb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,67,1.0,1.0,1.0,57,1.0,1.0,1.0,62,1.0,0.0,1.0,1.0,0.0218299691808421,0.0010200544739556,0.978512999191079,0.978512999191079,,-0.0214870008089209,0.0214870008089209,0.0214870008089209,0.0214870008089209,54.425,99.0,58.5,5797.773312,5797.773312,77.45,80.0,54.210525,92.894,1228.5,5000.0,4.0,2349.907625042678,7398.616970778697,0.0,0.0,0.0,473.104384,473.104384,35.15,36.0,9.45535,9.956,300.0,405.0,1.0,410.4244273407478,1310.8668824589256,66.5225,73.5,3.7874830336,3.943817216,14.2,2.6598825984,2.666336256,26.350256128,0.0,2760.332052383425,0.7667589034398404,0.5466990981526062,713.0,718,Tesla T4,16106.12736,70.0,GPU-a33bf8c2-746f-e912-2269-a8e9d6d97464,Tesla T4,16106.12736,70.0,GPU-c86cdc1f-6697-5b59-64a5-dc94cdb433c9,580.159.04,1.0,57,1.0,2,1.0,60,1.0,67
a-resnet50-base-f0-s3,a,resnet50,base,0,3,4,316,10112,1787783313.982595,1787783356.686869,2026-08-26T22:28:33Z,2026-08-26T22:29:16Z,acct2,1,d5f974,Interactive,0e7bb4fc52eb,v2,0.0074372027390577,1.0,0.007519084826282,0.0002399999999999,0.0929768059308393,1.2275406122207642,0.0583840683102607,0.2367815509438511,0.6229001563787452,0.0,1093.7801333283412,2.0401205638558513e-08,32768.0,0,0,42.68934583663941,38.82590174674988,3.861396789550781,17.107521057128906,20.742942094802856,19.24767541885376,0.7145774364471436,0.4007445118178847,0.2730254704439187,0.2729268074035644,0.2747903823852539,0.2781030035018921,65.11117285799085,23512130,23512130,177.52511143684387,11311.224433968297,60,384,32,coral,coral_bce,0.0,session_balanced,adamw,0.0003,0.05,cosine,5,60,5.0,True,full,raw,full_frame,dataset_v1_1,fp16,2,resnet50,0,3,base,a,0e7bb4fc52eb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,67,1.0,1.0,1.0,57,1.0,1.0,1.0,62,1.0,0.0,1.0,1.0,0.0105885347013426,0.0002854254423216,0.9895000268695175,0.9895000268695175,,-0.0104999731304824,0.0104999731304824,0.0104999731304824,0.0104999731304824,45.45,99.0,41.5,5797.773312,5797.773312,76.925,78.0,60.290425000000006,93.167,1204.5,5000.0,4.0,2345.0849597666192,9780.771237936482,0.0,0.0,0.0,473.104384,473.104384,35.075,36.0,9.46255,9.86,300.0,405.0,1.0,408.2994581882956,1727.40754826808,66.4925,73.6,3.8709966848,3.983720448,14.4,2.744410112,2.744410112,26.378313728,0.0,2753.384417954915,0.7648290049874764,0.5453230805560707,713.0,710,Tesla T4,16106.12736,70.0,GPU-a33bf8c2-746f-e912-2269-a8e9d6d97464,Tesla T4,16106.12736,70.0,GPU-c86cdc1f-6697-5b59-64a5-dc94cdb433c9,580.159.04,1.0,57,1.0,2,1.0,60,1.0,67
a-resnet50-base-f0-s3,a,resnet50,base,0,3,5,395,12640,1787783357.375416,1787783400.5411644,2026-08-26T22:29:17Z,2026-08-26T22:30:00Z,acct2,1,d5f974,Interactive,0e7bb4fc52eb,v2,0.0037608126957924,0.9996044303797468,0.0021979603647274,0.0003,0.0711894029621742,1.2327933311462402,0.0178708285093307,0.2924722939729689,0.693786098957061,0.0,1092.7952837645396,1.954329525936528e-08,32768.0,0,0,43.14573311805725,39.30886220932007,3.8343915939331055,17.57896089553833,20.72773838043213,19.217299699783325,0.742081880569458,0.4074321983923185,0.2732095658024655,0.2727119922637939,0.2751686096191406,0.2837544584274292,64.31119747344442,23512130,23512130,220.67084455490112,14058.903470596077,60,384,32,coral,coral_bce,0.0,session_balanced,adamw,0.0003,0.05,cosine,5,60,5.0,True,full,raw,full_frame,dataset_v1_1,fp16,2,resnet50,0,3,base,a,0e7bb4fc52eb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,67,1.0,1.0,1.0,57,1.0,1.0,1.0,62,1.0,0.0,1.0,1.0,0.0024427392043311,2.274638857747304e-05,0.9975636175242804,0.9975636175242804,,-0.0024363824757196,0.0024363824757196,0.0024363824757196,0.0024363824757196,53.675,99.0,56.5,5797.773312,5797.773312,77.225,79.0,55.723975,95.151,1263.75,5000.0,4.0,2334.6164450044744,12149.928741497752,0.0,0.0,0.0,473.104384,473.104384,35.525,36.0,9.519925,10.254,300.0,405.0,1.0,413.06259162330593,2148.3504338650705,67.0275,74.8,3.8579644416,4.042330112,14.5,2.769969152,2.769969152,26.403872768,0.0,2747.67903662778,0.7632441768410501,0.5441930980876687,713.0,714,Tesla T4,16106.12736,70.0,GPU-a33bf8c2-746f-e912-2269-a8e9d6d97464,Tesla T4,16106.12736,70.0,GPU-c86cdc1f-6697-5b59-64a5-dc94cdb433c9,580.159.04,1.0,57,1.0,2,1.0,60,1.0,67
a-resnet50-base-f0-s3,a,resnet50,base,0,3,6,474,15168,1787783401.153241,1787783444.1832051,2026-08-26T22:30:01Z,2026-08-26T22:30:44Z,acct2,1,d5f974,Interactive,0e7bb4fc52eb,v2,0.0013605723775705,1.0,0.0012948565627573,0.0002997553655889,0.0165117632691996,0.1350741237401962,0.0094205904752016,0.0540407560765742,0.1079495103657245,0.0,1091.69350949898,4.533772155106193e-09,32768.0,0,0,43.0149359703064,39.102097511291504,3.91089391708374,17.461345195770264,20.674092292785645,19.23052978515625,0.7328159809112549,0.4059367938574636,0.2723272782337816,0.2720184326171875,0.2742635250091553,0.284493236541748,64.65126325435585,23512130,23512130,263.6857805252075,16812.2256778059,60,384,32,coral,coral_bce,0.0,session_balanced,adamw,0.0003,0.05,cosine,5,60,5.0,True,full,raw,full_frame,dataset_v1_1,fp16,2,resnet50,0,3,base,a,0e7bb4fc52eb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,67,1.0,1.0,1.0,57,1.0,1.0,1.0,62,1.0,0.0,1.0,1.0,0.001568106499021,6.6509782911165e-06,0.998434002681445,0.998434002681445,,-0.001565997318555,0.001565997318555,0.001565997318555,0.001565997318555,42.425,99.0,45.0,5797.773312,5797.773312,76.95,78.0,55.58115,89.051,1248.375,5000.0,4.0,2343.9642204370502,14531.009947311164,0.0,0.0,0.0,473.104384,473.104384,35.25,36.0,9.42065,9.857,300.0,405.0,1.0,409.3579867727767,2565.8979533517363,67.17,74.2,3.831715328,3.98184448,14.4,2.6632060928000003,2.702204928,26.350403584,0.0,2753.322207209827,0.7648117242249519,0.5453107593723907,713.0,712,Tesla T4,16106.12736,70.0,GPU-a33bf8c2-746f-e912-2269-a8e9d6d97464,Tesla T4,16106.12736,70.0,GPU-c86cdc1f-6697-5b59-64a5-dc94cdb433c9,580.159.04,1.0,57,1.0,2,1.0,60,1.0,67
a-resnet50-base-f0-s3,a,resnet50,base,0,3,7,553,17696,1787783444.8681953,1787783486.9092534,2026-08-26T22:30:44Z,2026-08-26T22:31:26Z,acct2,1,d5f974,Interactive,0e7bb4fc52eb,v2,0.0008333337989111,1.0,0.0008718802778911,0.0002990222603022,0.0096843208560625,0.1164135336875915,0.0053454670123755,0.0229428054764866,0.0676626619696616,0.0,1090.5971927889304,2.655267711139995e-09,32768.0,0,0,42.02288675308228,38.23001527786255,3.7915351390838623,16.585612535476685,20.67708945274353,19.199868202209476,0.7285747528076172,0.3946804662166663,0.272343825690354,0.2716460227966308,0.2737249851226807,0.2867762184143066,66.12605256958561,23512130,23512130,305.7086672782898,19528.67698405335,60,384,32,coral,coral_bce,0.0,session_balanced,adamw,0.0003,0.05,cosine,5,60,5.0,True,full,raw,full_frame,dataset_v1_1,fp16,2,resnet50,0,3,base,a,0e7bb4fc52eb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,67,1.0,1.0,1.0,57,1.0,1.0,1.0,62,1.0,0.0,1.0,1.0,0.0010606722174092,3.981897682115988e-06,0.998940348304728,0.998940348304728,,-0.001059651695272,0.001059651695272,0.001059651695272,0.001059651695272,53.69230769230769,99.0,51.0,5797.773312000001,5797.773312,77.07692307692308,79.0,55.400307692307706,93.459,1273.076923076923,5000.0,4.0,2316.9360785610425,16882.653407845235,0.0,0.0,0.0,473.1043839999998,473.104384,35.38461538461539,36.0,9.475410256410251,9.956,300.0,405.0,1.0,399.5152276864033,2973.1130751242617,67.3974358974359,75.0,3.891259024410256,4.043726848,14.7,2.7452906469743588,2.778750976,26.434945024,0.0,2716.4513062474457,0.7545698072909571,0.5380082725984524,713.0,700,Tesla T4,16106.12736,70.0,GPU-a33bf8c2-746f-e912-2269-a8e9d6d97464,Tesla T4,16106.12736,70.0,GPU-c86cdc1f-6697-5b59-64a5-dc94cdb433c9,580.159.04,1.0,57,1.0,2,1.0,60,1.0,67
a-resnet50-base-f0-s3,a,resnet50,base,0,3,8,632,20224,1787783487.625772,1787783529.771817,2026-08-26T22:31:27Z,2026-08-26T22:32:09Z,acct2,1,d5f974,Interactive,0e7bb4fc52eb,v2,0.0005008960363773,1.0,0.0007130830876199,0.0002978030753771,0.0062682106648866,0.0434558615088462,0.0034225597046315,0.0180991407483816,0.0366462073475122,0.0,1089.5065990645132,1.713337408619575e-09,32768.0,0,0,42.1297869682312,38.259156703948975,3.8685719966888423,16.6694278717041,20.635352849960327,19.116849422454838,0.7172799110412598,0.3956684586198837,0.2716345907766608,0.2712907791137695,0.2736572742462158,0.2797344636917114,66.07568534669424,23512130,23512130,347.838454246521,22231.026413051837,60,384,32,coral,coral_bce,0.0,session_balanced,adamw,0.0003,0.05,cosine,5,60,5.0,True,full,raw,full_frame,dataset_v1_1,fp16,2,resnet50,0,3,base,a,0e7bb4fc52eb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,67,1.0,1.0,1.0,57,1.0,1.0,1.0,62,1.0,0.0,1.0,1.0,0.0008096994211184,2.2369929325754307e-06,0.999190939370022,0.999190939370022,,-0.0008090606299779,0.0008090606299779,0.0008090606299779,0.0008090606299779,48.02564102564103,99.0,50.0,5797.773312000001,5797.773312,76.92307692307692,79.0,55.411358974358976,102.156,1260.3846153846157,5000.0,4.0,2301.8171160981765,19218.03810427474,0.0,0.0,0.0,473.1043839999998,473.104384,35.56410256410256,36.0,9.477820512820514,9.96,300.0,405.0,1.0,400.53231290030726,3381.6636191532616,67.39743589743591,73.0,3.8810559934358975,4.013146112,14.4,2.7687895039999995,2.768789504,26.40269312,0.0,2702.349428998484,0.7506526191662455,0.5352153174655331,713.0,702,Tesla T4,16106.12736,70.0,GPU-a33bf8c2-746f-e912-2269-a8e9d6d97464,Tesla T4,16106.12736,70.0,GPU-c86cdc1f-6697-5b59-64a5-dc94cdb433c9,580.159.04,1.0,57,1.0,2,1.0,60,1.0,67
a-resnet50-base-f0-s3,a,resnet50,base,0,3,9,711,22752,1787783530.493414,1787783572.8881872,2026-08-26T22:32:10Z,2026-08-26T22:32:52Z,acct2,1,d5f974,Interactive,0e7bb4fc52eb,v2,0.0004285503775831,1.0,0.0005562744561522,0.0002961017875413,0.0054425991455658,0.0634165778756141,0.002825929550454,0.0137542813085019,0.0287012975662946,0.0,1088.4230336937203,1.4806406020313738e-09,32768.0,0,0,42.37767481803894,38.507585525512695,3.868707180023194,16.9129581451416,20.651642560958862,19.245784521102905,0.711188793182373,0.3991006636811099,0.271776141999643,0.2712645530700683,0.2732725620269775,0.2851417636871338,65.64940298126733,23512130,23512130,390.21612906456,24948.800655752897,60,384,32,coral,coral_bce,0.0,session_balanced,adamw,0.0003,0.05,cosine,5,60,5.0,True,full,raw,full_frame,dataset_v1_1,fp16,2,resnet50,0,3,base,a,0e7bb4fc52eb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,67,1.0,1.0,1.0,57,1.0,1.0,1.0,62,1.0,0.0,1.0,1.0,0.0006310414417924,1.458813690571464e-06,0.9993693700400732,0.9993693700400732,,-0.0006306299599267,0.0006306299599267,0.0006306299599267,0.0006306299599267,51.97435897435897,99.0,53.0,5797.773312000001,5797.773312,76.92307692307692,79.0,54.21651282051282,86.57,1296.1538461538462,5000.0,4.0,2314.206348594198,21570.82139597821,0.0,0.0,0.0,473.1043839999998,473.104384,35.205128205128204,36.0,9.475666666666667,9.86,300.0,405.0,1.0,403.5678941068645,3793.717505149126,67.33589743589744,73.4,3.916624397128204,4.020363264,14.5,2.773593376820513,2.82529792,26.460913664,0.0,2717.7742427010626,0.754937289639184,0.5382702875127382,713.0,704,Tesla T4,16106.12736,70.0,GPU-a33bf8c2-746f-e912-2269-a8e9d6d97464,Tesla T4,16106.12736,70.0,GPU-c86cdc1f-6697-5b59-64a5-dc94cdb433c9,580.159.04,1.0,57,1.0,2,1.0,60,1.0,67
a-resnet50-base-f0-s3,a,resnet50,base,0,3,10,790,25280,1787783573.578381,1787783615.836833,2026-08-26T22:32:53Z,2026-08-26T22:33:35Z,acct2,1,d5f974,Interactive,0e7bb4fc52eb,v2,0.0003732403211997,1.0,0.0004898915699462,0.0002939239460421,0.0065559859643985,0.2046166807413101,0.0024686565157026,0.0138345465995371,0.0662409625574944,0.0,1087.349416356625,1.7721637919389115e-09,32768.0,0,0,42.23919153213501,38.44479751586914,3.792625665664673,16.87896180152893,20.59813165664673,19.08602738380432,0.7305331230163574,0.3996042819306246,0.2713938061195083,0.2711639404296875,0.2733199596405029,0.2797302436828613,65.75662152873868,23512130,23512130,432.45532059669495,27671.23976374528,60,384,32,coral,coral_bce,0.0,session_balanced,adamw,0.0003,0.05,cosine,5,60,5.0,True,full,raw,full_frame,dataset_v1_1,fp16,2,resnet50,0,3,base,a,0e7bb4fc52eb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,67,1.0,1.0,1.0,57,1.0,1.0,1.0,62,1.0,0.0,1.0,1.0,0.0005699139856782,1.5789216140574903e-06,0.999430485310093,0.999430485310093,,-0.0005695146899069,0.0005695146899069,0.0005695146899069,0.0005695146899069,63.56410256410256,99.0,86.0,5797.773312000001,5797.773312,77.35897435897436,79.0,58.04546153846153,87.588,1218.4615384615386,5000.0,4.0,2314.633746440624,23923.452363660785,0.0,0.0,0.0,473.1043839999998,473.104384,35.30769230769231,36.0,9.69397435897436,10.75,300.0,405.0,1.0,407.8053615517574,4209.67926046681,67.3974358974359,74.9,3.886360208410256,4.004921344,14.4,2.7718503712820524,2.821971968,26.460930048,0.0,2722.4391079923817,0.7562330855534394,0.5391941899996022,713.0,702,Tesla T4,16106.12736,70.0,GPU-a33bf8c2-746f-e912-2269-a8e9d6d97464,Tesla T4,16106.12736,70.0,GPU-c86cdc1f-6697-5b59-64a5-dc94cdb433c9,580.159.04,1.0,57,1.0,2,1.0,60,1.0,67
