tyre,pilot_id,hrnet_error,segformer_error,gain
mileage_100000_plus__session_006,G011,0.42597290597047777,0.9846510280914335,0.5586781221209557
mileage_100000_plus__session_006,G022,0.3027125821919565,0.6033400907422611,0.3006275085503046
mileage_100000_plus__session_006,G032,0.3861834431478889,0.6709141809054056,0.28473073775751667
mileage_100000_plus__session_006,G042,0.4349604082856332,0.5019789554975557,0.06701854721192246
mileage_100000_plus__session_006,G051,0.4446621025859,0.9315571001061056,0.4868949975202056
mileage_100000_plus__session_006,G060,0.8642055337343946,1.0956656047880444,0.23146007105364985
mileage_100000_plus__session_006,G069,0.4987413609725869,0.9025967757504724,0.40385541477788545
mileage_100000_plus__session_006,G078,0.48509999665178893,1.1004923255139667,0.6153923288621778
mileage_100000_plus__session_006,G087,0.4000940778095278,0.781928757602,0.38183467979247215
mileage_100000_plus__session_006,G096,0.5327424745621778,0.6902210638091612,0.15747858924698332
mileage_100000_plus__session_006,G105,0.532088844670689,1.2694275509218278,0.7373387062511388
mileage_100000_plus__session_006,G114,0.8185903701683723,0.7143546674388556,-0.10423570272951677
new_tire__session_001,G012,1.161844716557,1.4721498214112667,0.31030510485426666
new_tire__session_001,G023,1.5472692069219947,1.5783376773819167,0.031068470459922004
new_tire__session_001,G033,1.0582443093498335,0.5019789554975501,-0.5562653538522834
new_tire__session_001,G043,2.3117154218829223,2.9056858770151113,0.5939704551321889
new_tire__session_001,G052,1.415709365662322,1.8824210831160666,0.4667117174537445
new_tire__session_001,G061,2.385221748036567,2.852591949029778,0.46737020099321125
new_tire__session_001,G070,2.603564267122667,3.3593976252533664,0.7558333581306993
new_tire__session_001,G079,2.7679851570492726,3.417318273964634,0.6493331169153613
new_tire__session_001,G088,2.7881002007047333,3.451105319046189,0.6630051183414558
new_tire__session_001,G097,2.0965349480102224,2.9539530842745005,0.8574181362642781
new_tire__session_001,G106,2.284465271334722,3.113234868230484,0.8287695968957616
new_tire__session_001,G115,2.936897201776222,3.55729317501685,0.6203959732406279
