run_id,stage,arch,technique,fold,seed,epoch,global_step,samples_seen,ts_start,ts_end,iso_start,iso_end,account,worker_id,session_id,host,config_hash,lib_version,train_loss,train_acc,val_loss,lr_group0,grad_norm_mean,grad_norm_max,grad_norm_p50,grad_norm_p95,grad_norm_p99,grad_clip_hit_rate,weight_norm_total,update_to_weight_ratio,amp_scale,amp_scale_decreases,nan_or_inf_batches,epoch_seconds,train_seconds,val_seconds,dataload_seconds,compute_seconds,backward_seconds,optimizer_seconds,dataload_frac,step_time_mean,step_time_p50,step_time_p90,step_time_p99,images_per_second,n_params_total,n_params_trainable,wall_seconds_cumulative,energy_joules_cumulative,epochs_planned,cfg_input_resolution,cfg_batch_size,cfg_head_type,cfg_loss_name,cfg_label_smoothing,cfg_sampler_name,cfg_optimizer_name,cfg_lr_initial,cfg_weight_decay,cfg_scheduler_name,cfg_warmup_epochs,cfg_max_epochs,cfg_grad_clip,cfg_pretrained,cfg_finetune_depth,cfg_preprocessing,cfg_roi_mode,cfg_augment_policy,cfg_precision,cfg_num_workers,cfg_arch,cfg_fold,cfg_seed,cfg_technique,cfg_stage,cfg_config_hash,val_acc,val_balanced_acc,val_f1_macro,val_f1_micro,val_f1_weighted,val_precision_macro,val_recall_macro,val_f1_low,val_recall_low,val_precision_low,val_support_low,val_f1_mid,val_recall_mid,val_precision_mid,val_support_mid,val_f1_high,val_recall_high,val_precision_high,val_support_high,val_qwk,val_mae_class,val_cohen_kappa,val_mcc,val_nll,val_brier,val_mean_confidence,val_mean_confidence_correct,val_mean_confidence_incorrect,val_overconfidence_gap,val_ece,val_mce,val_ace,gpu0_util_mean,gpu0_util_max,gpu0_util_p50,gpu0_mem_used_mb_mean,gpu0_mem_used_mb_peak,gpu0_temp_c_mean,gpu0_temp_c_max,gpu0_power_w_mean,gpu0_power_w_max,gpu0_sm_clock_mhz_mean,gpu0_mem_clock_mhz_mean,gpu0_throttle_reasons,gpu0_energy_joules_epoch,gpu0_energy_joules_cumulative,gpu1_util_mean,gpu1_util_max,gpu1_util_p50,gpu1_mem_used_mb_mean,gpu1_mem_used_mb_peak,gpu1_temp_c_mean,gpu1_temp_c_max,gpu1_power_w_mean,gpu1_power_w_max,gpu1_sm_clock_mhz_mean,gpu1_mem_clock_mhz_mean,gpu1_throttle_reasons,gpu1_energy_joules_epoch,gpu1_energy_joules_cumulative,cpu_percent_mean,cpu_percent_max,ram_used_gb_mean,ram_used_gb_peak,ram_percent_peak,proc_rss_gb_mean,proc_rss_gb_peak,proc_vms_gb_peak,swap_used_gb_peak,energy_joules_epoch,energy_wh_epoch,co2_g_epoch,carbon_intensity_g_per_kwh,power_sample_count,gpu0_name,gpu0_mem_total_mb,gpu0_power_limit_w,gpu0_uuid,gpu1_name,gpu1_mem_total_mb,gpu1_power_limit_w,gpu1_uuid,gpu_driver,val_acc_session_mileage_000100_005000__session_002,val_n_session_mileage_000100_005000__session_002,val_acc_session_mileage_040000__session_001,val_n_session_mileage_040000__session_001,val_acc_session_mileage_100000_plus__session_003,val_n_session_mileage_100000_plus__session_003,val_acc_session_mileage_100000_plus__session_006,val_n_session_mileage_100000_plus__session_006
a-resnet50-base-f1-s2,a,resnet50,base,1,2,1,99,3168,1787783484.981908,1787783534.512709,2026-08-26T22:31:24Z,2026-08-26T22:32:14Z,acct1,0,1eca9c,Interactive,86e0908dcc3c,v1,0.6392171997012515,0.6054292929292929,0.6362137347459793,6e-05,,,,,,0.0,1095.4538723768778,,32768.0,1,0,49.512147426605225,46.81119704246521,2.69941520690918,19.146502256393436,26.45816445350647,24.668920755386356,0.8864128589630127,0.3867031274451471,0.2776583469275272,0.2773840427398681,0.2801909923553466,0.2886141824722288,67.67611597554576,23512130,23512130,49.512147426605225,3278.670012335063,60,384,32,coral,coral_bce,0.0,session_balanced,adamw,0.0003,0.05,cosine,5,60,5.0,True,full,raw,full_frame,dataset_v1_1,fp16,2,resnet50,1,2,base,a,86e0908dcc3c,0.84375,0.6666666666666666,0.6069429429429429,0.84375,0.7783603603603603,0.563939763939764,0.6666666666666666,0.992,1.0,0.984126984126984,62,0.0,0.0,0.0,20,0.8288288288288288,1.0,0.7076923076923077,46,0.9154334038054968,0.15625,0.730185497470489,0.7646195520281819,0.9980620247902884,0.5866570742353507,0.4406255164649337,0.4412494555667595,0.4372562453150749,-0.4031244835350662,0.4031244835350662,0.602178543806076,0.4031244835350662,52.266666666666666,100.0,48.0,5774.704640000001,5774.70464,78.4888888888889,81.0,58.62391111111111,94.47,1120.0,5000.0,4.0,2802.164287574292,2808.3625825448044,0.0,0.0,0.0,473.1043839999999,473.104384,39.24444444444445,40.0,9.594088888888887,9.857,300.0,405.0,1.0,476.5057247607712,478.5016563088898,69.22,74.7,3.313496428088889,3.713667072,13.5,2.674107278222222,2.674180096,26.239455232,0.0,3278.670012335063,0.910741670093073,0.649358810776361,713.0,818,Tesla T4,16106.12736,70.0,GPU-9f4ff8b5-8ab3-4db4-8aad-33910b4643c3,Tesla T4,16106.12736,70.0,GPU-9f111faa-2f37-e4bf-0799-ffd89e5ef19c,580.159.04,1.0,62,0.0,20,1.0,5,1.0,41
a-resnet50-base-f1-s2,a,resnet50,base,1,2,2,198,6336,1787783535.444794,1787783584.8007555,2026-08-26T22:32:15Z,2026-08-26T22:33:04Z,acct1,0,1eca9c,Interactive,86e0908dcc3c,v1,0.2208497294911531,0.9867424242424242,0.3862599432468414,0.0001199999999999,0.7236889257575526,4.434262752532959,0.6541370153427124,1.5406119585037223,3.3625209331512407,0.0,1095.0577273235722,7.930419458630576e-08,32768.0,0,0,49.33838486671448,46.95382642745972,2.3834879398345947,19.571462869644165,26.18122434616089,24.461077451705933,0.9059433937072754,0.3966782237099092,0.2749508992590085,0.2747049331665039,0.2764012813568115,0.2830128622055053,67.47053948615523,23512130,23512130,98.8505322933197,6500.038066447012,60,384,32,coral,coral_bce,0.0,session_balanced,adamw,0.0003,0.05,cosine,5,60,5.0,True,full,raw,full_frame,dataset_v1_1,fp16,2,resnet50,1,2,base,a,86e0908dcc3c,0.4453125,0.4150537634408602,0.4185268414481897,0.4453125,0.4656718164794007,0.4565656565656565,0.4150537634408602,0.2022471910112359,0.1451612903225806,0.3333333333333333,62,0.0533333333333333,0.1,0.0363636363636363,20,1.0,1.0,1.0,46,0.6177658142664872,0.5546875,0.209326605185314,0.2343641111469597,0.7295368967431464,0.454226490739942,0.6300525281112641,0.8136380748790607,0.4826669483117654,0.1847400281112641,0.2526349320542067,0.6106874942779541,0.2526349320542067,57.422222222222224,99.0,57.0,5774.704640000001,5774.70464,75.91111111111111,77.0,53.72315555555557,94.762,1213.6666666666667,5000.0,4.0,2746.828045216076,5600.190731529705,0.0,0.0,0.0,473.1043839999999,473.104384,38.84444444444444,39.0,9.576355555555557,10.448,300.0,405.0,1.0,474.5400088958742,963.7211402525908,68.85333333333332,78.3,3.752829201066667,3.88532224,14.2,2.7978014720000006,2.797801472,26.363191296,0.0,3221.3680541119497,0.8948244594755416,0.6380098396060612,713.0,819,Tesla T4,16106.12736,70.0,GPU-9f4ff8b5-8ab3-4db4-8aad-33910b4643c3,Tesla T4,16106.12736,70.0,GPU-9f111faa-2f37-e4bf-0799-ffd89e5ef19c,580.159.04,0.1451612903225806,62,0.1,20,1.0,5,1.0,41
a-resnet50-base-f1-s2,a,resnet50,base,1,2,3,297,9504,1787783585.4821076,1787783633.4557955,2026-08-26T22:33:05Z,2026-08-26T22:33:53Z,acct1,0,1eca9c,Interactive,86e0908dcc3c,v1,0.0172710843958111,0.9996843434343434,0.4675666159018874,0.0001799999999999,0.1239465675269714,0.7334844470024109,0.0936740562319755,0.3243022739887236,0.6549456167221066,0.0,1094.3524460751253,2.0386834456185144e-08,32768.0,0,0,47.95783543586731,45.56621050834656,2.39020037651062,18.066208839416504,26.28595209121704,24.571912050247192,0.8983681201934814,0.3767102638228105,0.2759884054010564,0.275651216506958,0.2773308753967285,0.2873915767669677,69.52520222017813,23512130,23512130,146.808367729187,9702.06874794149,60,384,32,coral,coral_bce,0.0,session_balanced,adamw,0.0003,0.05,cosine,5,60,5.0,True,full,raw,full_frame,dataset_v1_1,fp16,2,resnet50,1,2,base,a,86e0908dcc3c,0.4921875,0.6166666666666667,0.4372851320219741,0.4921875,0.4016879319510898,0.3846551278739343,0.6166666666666667,0.0,0.0,0.0,62,0.3434343434343435,0.85,0.2151898734177215,20,0.968421052631579,1.0,0.9387755102040816,46,0.6159527326440177,0.5078125,0.3370517928286852,0.480168045375632,0.9002249161462078,0.6047031097859854,0.736679774010554,0.8306880668988303,0.6455640439803784,0.2444922740105539,0.3944695142563432,0.7424082607030869,0.3944695142563432,63.644444444444446,99.0,72.0,5774.704640000001,5774.70464,77.91111111111111,80.0,57.30184444444443,99.5,1165.3333333333333,5000.0,4.0,2738.6915824830567,8369.003735680099,0.0,0.0,0.0,473.1043839999999,473.104384,39.0,39.0,9.620444444444445,10.452,300.0,405.0,1.0,463.3390990114217,1435.143917600633,69.2288888888889,75.9,3.841348949333333,3.943149568,14.2,2.797948836977777,2.82748928,26.419298304,0.0,3202.0306814944784,0.8894529670817996,0.6341799655293231,713.0,798,Tesla T4,16106.12736,70.0,GPU-9f4ff8b5-8ab3-4db4-8aad-33910b4643c3,Tesla T4,16106.12736,70.0,GPU-9f111faa-2f37-e4bf-0799-ffd89e5ef19c,580.159.04,0.0,62,0.85,20,1.0,5,1.0,41
a-resnet50-base-f1-s2,a,resnet50,base,1,2,4,396,12672,1787783634.15001,1787783684.2766366,2026-08-26T22:33:54Z,2026-08-26T22:34:44Z,acct1,0,1eca9c,Interactive,86e0908dcc3c,v1,0.0056917006996544,0.9993686868686869,0.2196422941051423,0.0002399999999999,0.0609940956111508,1.2723263502120972,0.025218678638339,0.1461919829249381,0.6328651022911046,0.0,1093.38203489511,1.3388351444863914e-08,32768.0,0,0,50.10463619232178,47.70542311668396,2.3975110054016118,20.334588766098022,26.153738260269165,24.328473329544067,0.8920261859893799,0.4058424591298434,0.2747427670642583,0.2739138603210449,0.2782416343688965,0.2831869506835937,66.40754432156078,23512130,23512130,196.9130039215088,12968.554216002927,60,384,32,coral,coral_bce,0.0,session_balanced,adamw,0.0003,0.05,cosine,5,60,5.0,True,full,raw,full_frame,dataset_v1_1,fp16,2,resnet50,1,2,base,a,86e0908dcc3c,0.84375,0.6666666666666666,0.6203703703703703,0.84375,0.7764756944444444,0.5853658536585366,0.6666666666666666,0.8611111111111112,1.0,0.7560975609756098,62,0.0,0.0,0.0,20,1.0,1.0,1.0,46,0.9118942731277532,0.15625,0.7212543554006968,0.7617263074577288,0.4489048014144868,0.2529200967706794,0.7739180512726307,0.8008281235341672,0.6286036610603333,-0.0698319487273693,0.1260030893608927,0.7478001713752747,0.1260030893608927,61.08510638297872,99.0,81.0,5774.704640000001,5774.70464,76.61702127659575,78.0,56.31597872340425,95.614,1229.6808510638298,5000.0,4.0,2784.63426675319,11192.870061527005,0.0,0.0,0.0,473.1043839999998,473.104384,39.0,39.0,9.61344680851064,10.051,300.0,405.0,1.0,481.85120130824953,1925.2204114530084,70.96595744680852,95.4,4.042285491744681,5.044535296,17.5,2.8528701004255312,3.705565184,27.288682496,0.0,3266.4854680614394,0.9073570744615108,0.6469455940910573,713.0,826,Tesla T4,16106.12736,70.0,GPU-9f4ff8b5-8ab3-4db4-8aad-33910b4643c3,Tesla T4,16106.12736,70.0,GPU-9f111faa-2f37-e4bf-0799-ffd89e5ef19c,580.159.04,1.0,62,0.0,20,1.0,5,1.0,41
a-resnet50-base-f1-s2,a,resnet50,base,1,2,5,495,15840,1787783684.9183276,1787783733.3347464,2026-08-26T22:34:44Z,2026-08-26T22:35:33Z,acct1,0,1eca9c,Interactive,86e0908dcc3c,v1,0.0017531607652816,1.0,0.2165296631865203,0.0003,0.018146150978282,0.1212999522686004,0.0102761769667267,0.0771089166402815,0.117367480546236,0.0,1092.147755432931,4.984531869798761e-09,32768.0,0,0,48.39990401268005,46.01420021057129,2.384622812271118,18.71789574623108,26.10661125183105,24.404157400131226,0.8835916519165039,0.3867341501612745,0.2740821693882798,0.274057388305664,0.2753963947296142,0.2786860942840576,68.84831172773887,23512130,23512130,245.31290793418884,16185.690040317751,60,384,32,coral,coral_bce,0.0,session_balanced,adamw,0.0003,0.05,cosine,5,60,5.0,True,full,raw,full_frame,dataset_v1_1,fp16,2,resnet50,1,2,base,a,86e0908dcc3c,0.84375,0.6666666666666666,0.6203703703703703,0.84375,0.7764756944444444,0.5853658536585366,0.6666666666666666,0.8611111111111112,1.0,0.7560975609756098,62,0.0,0.0,0.0,20,1.0,1.0,1.0,46,0.9118942731277532,0.15625,0.7212543554006968,0.7617263074577288,0.4902378781069817,0.2677265349939972,0.8783330610021949,0.8866158574819565,0.8336059600114822,0.0345830610021948,0.0764174982905387,0.879205067952474,0.0764174982905387,55.4,99.0,63.0,5774.704640000001,5774.70464,77.04444444444445,78.0,57.73637777777778,87.868,1206.0,5000.0,4.0,2749.7527440268914,13981.967562048892,0.0,0.0,0.0,473.1043839999999,473.104384,39.0,39.0,9.556422222222222,10.154,300.0,405.0,1.0,467.3830802879329,2401.1224361441127,68.35555555555555,75.1,4.256124199822223,4.433395712,15.7,2.833307875555556,2.867642368,26.43275776,0.0,3217.1358243148243,0.8936488400874512,0.6371716229823526,713.0,804,Tesla T4,16106.12736,70.0,GPU-9f4ff8b5-8ab3-4db4-8aad-33910b4643c3,Tesla T4,16106.12736,70.0,GPU-9f111faa-2f37-e4bf-0799-ffd89e5ef19c,580.159.04,1.0,62,0.0,20,1.0,5,1.0,41
a-resnet50-base-f1-s2,a,resnet50,base,1,2,6,594,19008,1787783744.0524876,1787783791.6024609,2026-08-26T22:35:44Z,2026-08-26T22:36:31Z,acct1,0,1eca9c,Interactive,86e0908dcc3c,v1,0.0010064035767837,1.0,0.2341904191998765,0.0002997553655889,0.0108385817759265,0.1296843141317367,0.0052569773979485,0.0344841234385967,0.0848945769667623,0.0,1090.7693221191016,2.978561073203276e-09,32768.0,0,0,47.53353428840637,45.12197518348694,2.410591125488281,17.722421884536743,26.211625814437863,24.525464057922363,0.8962368965148926,0.3728403988857044,0.2751987004520917,0.2749137878417969,0.2772603511810302,0.2884552288055419,70.20969244181883,23512130,23512130,292.8464422225952,19381.418660780902,60,384,32,coral,coral_bce,0.0,session_balanced,adamw,0.0003,0.05,cosine,5,60,5.0,True,full,raw,full_frame,dataset_v1_1,fp16,2,resnet50,1,2,base,a,86e0908dcc3c,0.84375,0.6666666666666666,0.6203703703703703,0.84375,0.7764756944444444,0.5853658536585366,0.6666666666666666,0.8611111111111112,1.0,0.7560975609756098,62,0.0,0.0,0.0,20,1.0,1.0,1.0,46,0.9118942731277532,0.15625,0.7212543554006968,0.7617263074577288,0.5596918002278627,0.2824357549640235,0.953092488925904,0.9584381381670634,0.9242259830236434,0.109342488925904,0.109342488925904,0.8411744236946106,0.109342488925904,49.31818181818182,99.0,56.5,5774.704640000001,5774.70464,78.27272727272727,81.0,55.18186363636364,88.884,1212.9545454545455,5000.0,4.0,2731.061731430307,17067.42435581898,0.0,0.0,0.0,473.1043839999999,473.104384,39.06818181818182,40.0,9.770477272727272,10.651,300.0,405.0,1.0,464.6668890328433,2971.811293133737,68.78863636363637,75.4,4.098654673454546,4.289273856,15.3,2.7373977599999995,2.73739776,26.320093184,0.0,3195.7286204631505,0.8877023945730974,0.6329318073306184,713.0,786,Tesla T4,16106.12736,70.0,GPU-9f4ff8b5-8ab3-4db4-8aad-33910b4643c3,Tesla T4,16106.12736,70.0,GPU-9f111faa-2f37-e4bf-0799-ffd89e5ef19c,580.159.04,1.0,62,0.0,20,1.0,5,1.0,41
a-resnet50-base-f1-s2,a,resnet50,base,1,2,7,693,22176,1787783792.2644124,1787783840.6107445,2026-08-26T22:36:32Z,2026-08-26T22:37:20Z,acct1,0,1eca9c,Interactive,86e0908dcc3c,v1,0.0007435508646956,1.0,0.2469471991062164,0.0002990222603022,0.0113069408883651,0.295125275850296,0.0036844874266535,0.0298352759331464,0.1803978982567782,0.0,1089.4005783028294,3.103566391354881e-09,32768.0,0,0,48.33037495613098,45.9740629196167,2.355272054672241,18.799249172210693,25.975553035736084,24.295986890792847,0.9081470966339112,0.3889737911049644,0.2729214562310113,0.272552490234375,0.2743692398071289,0.2833006000518799,68.90841920017132,23512130,23512130,341.1768171787262,22579.84709109113,60,384,32,coral,coral_bce,0.0,session_balanced,adamw,0.0003,0.05,cosine,5,60,5.0,True,full,raw,full_frame,dataset_v1_1,fp16,2,resnet50,1,2,base,a,86e0908dcc3c,0.84375,0.6666666666666666,0.6203703703703703,0.84375,0.7764756944444444,0.5853658536585366,0.6666666666666666,0.8611111111111112,1.0,0.7560975609756098,62,0.0,0.0,0.0,20,1.0,1.0,1.0,46,0.9118942731277532,0.15625,0.7212543554006968,0.7617263074577288,0.5733496739058731,0.285684180236929,0.9536618194542824,0.9570828455465812,0.93518827855587,0.1099118194542825,0.1099118194542825,0.8664718270301819,0.1099118194542825,56.02272727272727,99.0,62.5,5774.704640000001,5774.70464,76.22727272727273,77.0,55.85277272727274,91.902,1235.7954545454545,5000.0,4.0,2721.615460199577,19819.15081839035,0.0,0.0,0.0,473.1043839999999,473.104384,39.0,39.0,9.734613636363637,10.551,300.0,405.0,1.0,476.812970110655,3455.8645523247733,69.44545454545454,74.3,4.034872413090909,4.1761792,15.0,2.7304081221818177,2.768195584,26.312101888,0.0,3198.428430310232,0.8884523417528422,0.6334665196697764,713.0,806,Tesla T4,16106.12736,70.0,GPU-9f4ff8b5-8ab3-4db4-8aad-33910b4643c3,Tesla T4,16106.12736,70.0,GPU-9f111faa-2f37-e4bf-0799-ffd89e5ef19c,580.159.04,1.0,62,0.0,20,1.0,5,1.0,41
a-resnet50-base-f1-s2,a,resnet50,base,1,2,8,792,25344,1787783841.2690396,1787783889.7010183,2026-08-26T22:37:21Z,2026-08-26T22:38:09Z,acct1,0,1eca9c,Interactive,86e0908dcc3c,v1,0.0003557215765032,1.0,0.2497640957590192,0.0002978030753771,0.0045987690088687,0.0396026857197284,0.0025553298182785,0.0154263095930218,0.0316564429551362,0.0,1088.0381687923195,1.2587127851501515e-09,32768.0,0,0,48.41510272026062,46.02723932266235,2.386904716491699,18.805394172668457,26.05375862121582,24.274047136306763,0.8853070735931396,0.3884199994643165,0.2734711772263652,0.273439884185791,0.2750457286834716,0.2805502128601074,68.82880760654653,23512130,23512130,389.5919198989868,25885.00894612264,60,384,32,coral,coral_bce,0.0,session_balanced,adamw,0.0003,0.05,cosine,5,60,5.0,True,full,raw,full_frame,dataset_v1_1,fp16,2,resnet50,1,2,base,a,86e0908dcc3c,0.84375,0.6666666666666666,0.6203703703703703,0.84375,0.7764756944444444,0.5853658536585366,0.6666666666666666,0.8611111111111112,1.0,0.7560975609756098,62,0.0,0.0,0.0,20,1.0,1.0,1.0,46,0.9118942731277532,0.15625,0.7212543554006968,0.7617263074577288,0.6026045999636791,0.2884579360066927,0.968191749881953,0.9729143381118774,0.942689773440361,0.124441749881953,0.124441749881953,0.5819870233535767,0.124441749881953,51.422222222222224,99.0,54.0,5774.704640000001,5774.70464,77.33333333333333,78.0,58.41335555555556,97.557,1202.0,5000.0,4.0,2826.687932838213,22679.948481511343,0.0,0.0,0.0,473.1043839999999,473.104384,39.0,39.0,9.83617777777778,10.646,300.0,405.0,1.0,478.47392219329095,3941.625007947687,68.72444444444446,76.1,4.101593042488888,4.3062272,15.3,2.7306157852444444,2.7784192,26.312101888,0.0,3305.161855031504,0.9181005152865288,0.654605667399295,713.0,808,Tesla T4,16106.12736,70.0,GPU-9f4ff8b5-8ab3-4db4-8aad-33910b4643c3,Tesla T4,16106.12736,70.0,GPU-9f111faa-2f37-e4bf-0799-ffd89e5ef19c,580.159.04,1.0,62,0.0,20,1.0,5,1.0,41
a-resnet50-base-f1-s2,a,resnet50,base,1,2,9,891,28512,1787783890.3637085,1787783938.6125538,2026-08-26T22:38:10Z,2026-08-26T22:38:58Z,acct1,0,1eca9c,Interactive,86e0908dcc3c,v1,0.00035495730896,1.0,0.2447880479739979,0.0002961017875413,0.0060903194931928,0.282850831747055,0.0017078766832128,0.0095169737935065,0.0347292887046923,0.0,1086.6880761565735,1.6594959751564402e-09,32768.0,0,0,48.23107099533081,45.78618264198303,2.444011926651001,18.631270170211792,25.97313666343689,24.20335173606873,0.8844659328460693,0.3862918609461411,0.2727547679284606,0.2724983692169189,0.2747799873352051,0.2784583377838134,69.19117989747292,23512130,23512130,437.8229908943176,29066.63435532878,60,384,32,coral,coral_bce,0.0,session_balanced,adamw,0.0003,0.05,cosine,5,60,5.0,True,full,raw,full_frame,dataset_v1_1,fp16,2,resnet50,1,2,base,a,86e0908dcc3c,0.84375,0.6666666666666666,0.6203703703703703,0.84375,0.7764756944444444,0.5853658536585366,0.6666666666666666,0.8611111111111112,1.0,0.7560975609756098,62,0.0,0.0,0.0,20,1.0,1.0,1.0,46,0.9118942731277532,0.15625,0.7212543554006968,0.7617263074577288,0.5894165057944694,0.2867001976328776,0.9627966121770442,0.9675689897051564,0.937025773525238,0.1190466121770441,0.1190466121770441,0.2658962666988372,0.1190466121770441,50.355555555555554,99.0,51.0,5774.704640000001,5774.70464,76.77777777777777,78.0,54.861444444444444,93.536,1251.0,5000.0,4.0,2711.563894010538,25420.591405229072,0.0,0.0,0.0,473.1043839999999,473.104384,39.0,39.0,9.726533333333332,10.353,300.0,405.0,1.0,470.06151519560535,4419.418155866147,68.41333333333333,76.0,4.107698813155556,4.222672896,15.1,2.7295297080888883,2.72953344,26.255470592,0.0,3181.625409206144,0.8837848358905954,0.6301385879899946,713.0,800,Tesla T4,16106.12736,70.0,GPU-9f4ff8b5-8ab3-4db4-8aad-33910b4643c3,Tesla T4,16106.12736,70.0,GPU-9f111faa-2f37-e4bf-0799-ffd89e5ef19c,580.159.04,1.0,62,0.0,20,1.0,5,1.0,41
a-resnet50-base-f1-s2,a,resnet50,base,1,2,10,990,31680,1787783939.2904992,1787783987.8852046,2026-08-26T22:38:59Z,2026-08-26T22:39:47Z,acct1,0,1eca9c,Interactive,86e0908dcc3c,v1,0.000188915895779,1.0,0.3160446292022243,0.0002939239460421,0.0023673578898064,0.0154390083625912,0.0013572332682088,0.007149569178,0.0134355837851762,0.0,1085.346890163797,6.411067088062405e-10,32768.0,0,0,48.57636046409607,46.15075755119324,2.423487901687622,18.99854421615601,25.94908571243286,24.179969310760494,0.910006046295166,0.3911067859890054,0.2726471568598891,0.272346019744873,0.274057388305664,0.2829981279373169,68.64459367727304,23512130,23512130,486.3993513584137,32297.402875723827,60,384,32,coral,coral_bce,0.0,session_balanced,adamw,0.0003,0.05,cosine,5,60,5.0,True,full,raw,full_frame,dataset_v1_1,fp16,2,resnet50,1,2,base,a,86e0908dcc3c,0.84375,0.6666666666666666,0.6203703703703703,0.84375,0.7764756944444444,0.5853658536585366,0.6666666666666666,0.8611111111111112,1.0,0.7560975609756098,62,0.0,0.0,0.0,20,1.0,1.0,1.0,46,0.9118942731277532,0.15625,0.7212543554006968,0.7617263074577288,0.7955871480659067,0.3033649769050653,0.9883785736747086,0.9903673651041808,0.9776390999555588,0.1446285736747086,0.1446285736747086,0.1446285736747086,0.1446285736747086,59.44444444444444,99.0,76.0,5774.704640000001,5774.70464,77.08888888888889,78.0,61.58891111111114,102.285,1196.3333333333333,5000.0,4.0,2759.7365237212216,28218.26549917291,0.0,0.0,0.0,473.1043839999999,473.104384,39.0,39.0,9.68431111111111,10.055,300.0,405.0,1.0,471.0319966738252,4898.7614445371655,69.06,73.8,4.296569105066666,4.431507456,15.7,2.8562188060444447,2.89069056,26.438131712,0.0,3230.768520395047,0.8974357001097353,0.6398716541782412,713.0,809,Tesla T4,16106.12736,70.0,GPU-9f4ff8b5-8ab3-4db4-8aad-33910b4643c3,Tesla T4,16106.12736,70.0,GPU-9f111faa-2f37-e4bf-0799-ffd89e5ef19c,580.159.04,1.0,62,0.0,20,1.0,5,1.0,41
