model,fold,mode,n_seeds,mean_macro_f1,mean_delta,std_delta
deeplabv3plus_r34,0,full,3,1.0,0.0,0.0
deeplabv3plus_r34,0,oracle_tread,3,1.0,0.0,0.0
deeplabv3plus_r34,0,oracle_tyre,3,1.0,0.0,0.0
deeplabv3plus_r34,0,pred_tread,3,1.0,0.0,0.0
deeplabv3plus_r34,0,pred_tyre,3,1.0,0.0,0.0
deeplabv3plus_r34,1,full,3,0.7044725602196866,0.0,0.0
deeplabv3plus_r34,1,oracle_tread,3,0.6348929250535676,-0.06957963516611904,0.3696316257904102
deeplabv3plus_r34,1,oracle_tyre,3,0.6451095798641018,-0.05936298035558485,0.35312424344039106
deeplabv3plus_r34,1,pred_tread,3,0.6476672846626185,-0.05680527555706826,0.33700412345806163
deeplabv3plus_r34,1,pred_tyre,3,0.6374979582173924,-0.06697460200229424,0.3428858147705397
deeplabv3plus_r34,2,full,3,0.8333333333333334,0.0,0.0
deeplabv3plus_r34,2,oracle_tread,3,0.8333333333333334,0.0,0.0
deeplabv3plus_r34,2,oracle_tyre,3,0.8333333333333334,0.0,0.0
deeplabv3plus_r34,2,pred_tread,3,0.8564593301435407,0.0231259968102073,0.04005540145095483
deeplabv3plus_r34,2,pred_tyre,3,0.8333333333333334,0.0,0.0
rtdetrv2_r18,0,full,3,1.0,0.0,0.0
rtdetrv2_r18,0,oracle_tread,3,1.0,0.0,0.0
rtdetrv2_r18,0,oracle_tyre,3,1.0,0.0,0.0
rtdetrv2_r18,0,pred_tread,3,1.0,0.0,0.0
rtdetrv2_r18,0,pred_tyre,3,1.0,0.0,0.0
rtdetrv2_r18,1,full,3,0.7044725602196866,0.0,0.0
rtdetrv2_r18,1,oracle_tread,3,0.6348929250535676,-0.06957963516611904,0.3696316257904102
rtdetrv2_r18,1,oracle_tyre,3,0.6451095798641018,-0.05936298035558485,0.35312424344039106
rtdetrv2_r18,1,pred_tread,3,0.5549759625222838,-0.14949659769740284,0.2589357027705861
rtdetrv2_r18,1,pred_tyre,3,0.7888775620659678,0.08440500184628119,0.15238604266795994
rtdetrv2_r18,2,full,3,0.8333333333333334,0.0,0.0
rtdetrv2_r18,2,oracle_tread,3,0.8333333333333334,0.0,0.0
rtdetrv2_r18,2,oracle_tyre,3,0.8333333333333334,0.0,0.0
rtdetrv2_r18,2,pred_tread,3,0.8333333333333334,0.0,0.0
rtdetrv2_r18,2,pred_tyre,3,0.8333333333333334,0.0,0.0
segformer_b0,0,full,3,1.0,0.0,0.0
segformer_b0,0,oracle_tread,3,1.0,0.0,0.0
segformer_b0,0,oracle_tyre,3,1.0,0.0,0.0
segformer_b0,0,pred_tread,3,1.0,0.0,0.0
segformer_b0,0,pred_tyre,3,1.0,0.0,0.0
segformer_b0,1,full,3,0.7044725602196866,0.0,0.0
segformer_b0,1,oracle_tread,3,0.6348929250535676,-0.06957963516611904,0.3696316257904102
segformer_b0,1,oracle_tyre,3,0.6451095798641018,-0.05936298035558485,0.35312424344039106
segformer_b0,1,pred_tread,3,0.6451095798641018,-0.05936298035558485,0.35312424344039106
