arch,factor,fold,seed,f1,delta_vs_stage_a
densenet121,ft_frozen,1,1,0.7149236192714454,0.09455324890107508
densenet121,ft_frozen,1,2,0.6076555023923444,-0.07736370375362223
densenet121,ft_frozen,1,3,0.4640522875816993,-0.299976489396718
densenet121,head_ce,1,1,0.9418315953749024,0.321461225004532
densenet121,head_ce,1,2,0.6085115701876049,-0.07650763595836174
densenet121,head_ce,1,3,0.7640287769784173,0.0
densenet121,lr_low,1,1,0.6135133130608915,-0.006857057309478831
densenet121,lr_low,1,2,0.6203703703703703,-0.06464883577559632
densenet121,lr_low,1,3,0.6203703703703703,-0.14365840660804696
densenet121,prep_clahe,1,1,0.6146825396825397,-0.005687830687830631
densenet121,prep_clahe,1,2,0.6203703703703703,-0.06464883577559632
densenet121,prep_clahe,1,3,0.6203703703703703,-0.14365840660804696
densenet121,prep_gray,1,1,0.6203703703703703,0.0
densenet121,prep_gray,1,2,0.6203703703703703,-0.06464883577559632
densenet121,prep_gray,1,3,0.6203703703703703,-0.14365840660804696
densenet121,res224,1,1,0.937878787878788,0.31750841750841763
densenet121,res224,1,2,0.8078760025232045,0.12285679637723779
densenet121,res224,1,3,0.4478114478114478,-0.3162173291669695
densenet121,res512,1,1,0.6203703703703703,0.0
densenet121,res512,1,2,0.6203703703703703,-0.06464883577559632
densenet121,res512,1,3,0.6203703703703703,-0.14365840660804696
densenet121,roi_tyre,1,1,0.6187933929869414,-0.0015769773834289902
densenet121,roi_tyre,1,2,0.6203703703703703,-0.06464883577559632
densenet121,roi_tyre,1,3,0.6203703703703703,-0.14365840660804696
densenet121,sampler_classweighted,1,1,0.8964646464646465,0.27609427609427617
densenet121,sampler_classweighted,1,2,0.6114674727813414,-0.07355173336462528
densenet121,sampler_classweighted,1,3,0.6203703703703703,-0.14365840660804696
densenet121,sampler_uniform,1,1,0.6071428571428572,-0.013227513227513144
densenet121,sampler_uniform,1,2,0.8763197586726998,0.19130055252673317
densenet121,sampler_uniform,1,3,0.6203703703703703,-0.14365840660804696
densenet121,transfer_random,1,1,0.8498168498168498,0.22944647944647945
densenet121,transfer_random,1,2,0.5889724310776943,-0.09604677506827242
densenet121,transfer_random,1,3,0.6203703703703703,-0.14365840660804696
densenet121,wd_low,1,1,0.6071428571428572,-0.013227513227513144
densenet121,wd_low,1,2,0.6203703703703703,-0.06464883577559632
densenet121,wd_low,1,3,0.6850192061459667,-0.07900957083245064
regnety016,ft_frozen,1,1,0.6176529898105643,-0.09578107329972463
regnety016,ft_frozen,1,2,0.5767272727272728,-0.42327272727272724
regnety016,ft_frozen,1,3,0.6900060837343066,-0.011097033771688691
regnety016,head_ce,1,1,0.6173209469583458,-0.09611311615194307
regnety016,head_ce,1,2,0.6187933929869414,-0.38120660701305864
regnety016,head_ce,1,3,0.6203703703703703,-0.08073274713562495
regnety016,lr_low,1,1,0.6203703703703703,-0.09306369273991855
regnety016,lr_low,1,2,0.6203703703703703,-0.37962962962962965
