fold,n_cal,n_test,q,coverage_90,mean_set_size,abstain_rate
0,62,61,0.0,0.8688524590163934,0.8688524590163934,0.0
1,43,41,0.6764518022537231,0.975609756097561,1.0975609756097562,0.0975609756097561
2,35,33,0.0,0.9393939393939394,0.9393939393939394,0.0
