baseline,mean,min,max,count
colour_probe,0.4914089250971629,0.12321589882565492,0.8869585888841344,3
hog_svm,0.6539856028511729,0.18181818181818185,0.9841179807146908,3
legacy_resnet18_random_15ep_seed1,0.8213507625272332,0.4640522875816993,1.0,3
majority_train_selected,0.1930923781419586,0.17654808959156784,0.21754385964912282,3
structure_probe,0.4833079159004278,0.1191019786910198,0.976375046142488,3
