fold,kind,temperature,n,f1_macro,ece,nll,brier
0,raw,0.07377750426530838,61,1.0,0.21145814852636366,0.24250985233065062,0.07653751878816364
0,temperature,0.07377750426530838,61,1.0,1.7588255851741508e-08,1.758825711666788e-08,4.5059319747966765e-15
1,raw,0.24195615947246552,41,0.8030303030303031,0.18955359371697028,0.3562990393866919,0.17877428447603108
1,temperature,0.24195615947246552,41,0.8030303030303031,0.07377237081527711,0.16225736508405453,0.10682774673712177
2,raw,0.07243766635656357,33,1.0,0.12928911411400998,0.14377924614941187,0.04018477412032555
2,temperature,0.07243766635656357,33,1.0,7.224805420591451e-09,7.2248058579520705e-09,1.325602226778528e-15
