model,fold,arm,n_seeds,mean_f1,mean_delta,std_delta
yolo26n_det,1,tyre_only,3,0.6451095798641018,-0.05936298035558485,0.35312424344039106
yolo26n_det,1,tyre_tread_equal,3,0.6517110306418482,-0.0527615295778384,0.34252118080903293
yolo26n_det,2,full,3,0.8333333333333334,0.0,0.0
yolo26n_det,2,full_tyre_tread_equal,3,0.8333333333333334,0.0,0.0
yolo26n_det,2,tread_only,3,0.8333333333333334,0.0,0.0
yolo26n_det,2,tyre_only,3,0.8564593301435407,0.023125996810207328,0.04005540145095488
yolo26n_det,2,tyre_tread_equal,3,0.8394566224143255,0.006123289080992096,0.010605847797710049
yolo26n_seg,0,full,3,1.0,0.0,0.0
yolo26n_seg,0,full_tyre_tread_equal,3,1.0,0.0,0.0
yolo26n_seg,0,tread_only,3,1.0,0.0,0.0
yolo26n_seg,0,tyre_only,3,1.0,0.0,0.0
yolo26n_seg,0,tyre_tread_equal,3,1.0,0.0,0.0
yolo26n_seg,1,full,3,0.7044725602196866,0.0,0.0
yolo26n_seg,1,full_tyre_tread_equal,3,0.6553750064726875,-0.049097553746999145,0.2632126954392279
yolo26n_seg,1,tread_only,3,0.6825618923742138,-0.021910667845472798,0.23341707242288987
yolo26n_seg,1,tyre_only,3,0.6484296359954326,-0.056042924224254144,0.347785082085782
yolo26n_seg,1,tyre_tread_equal,3,0.6549015165917601,-0.04957104362792658,0.3147802860650711
yolo26n_seg,2,full,3,0.8333333333333334,0.0,0.0
yolo26n_seg,2,full_tyre_tread_equal,3,0.8394566224143255,0.006123289080992096,0.010605847797710049
yolo26n_seg,2,tread_only,3,0.8564593301435407,0.023125996810207328,0.04005540145095488
yolo26n_seg,2,tyre_only,3,0.8510017114668278,0.017668378133494422,0.030602528614551306
yolo26n_seg,2,tyre_tread_equal,3,0.8453398453398453,0.012006512006512001,0.020795888816964533
yolo26s_det,0,full,3,1.0,0.0,0.0
yolo26s_det,0,full_tyre_tread_equal,3,1.0,0.0,0.0
yolo26s_det,0,tread_only,3,1.0,0.0,0.0
yolo26s_det,0,tyre_only,3,1.0,0.0,0.0
yolo26s_det,0,tyre_tread_equal,3,1.0,0.0,0.0
yolo26s_det,1,full,3,0.7044725602196866,0.0,0.0
yolo26s_det,1,full_tyre_tread_equal,3,0.6748754138395269,-0.02959714638015974,0.27102690390195067
yolo26s_det,1,tread_only,3,0.6843171223405141,-0.02015543787917251,0.2798817757191677
yolo26s_det,1,tyre_only,3,0.6625131382384695,-0.041959421981217215,0.3252925912540022
yolo26s_det,1,tyre_tread_equal,3,0.6619519737425243,-0.0425205864771623,0.3261835897436435
yolo26s_det,2,full,3,0.8333333333333334,0.0,0.0
yolo26s_det,2,full_tyre_tread_equal,3,0.8333333333333334,0.0,0.0
yolo26s_det,2,tread_only,3,0.8333333333333334,0.0,0.0
yolo26s_det,2,tyre_only,3,0.8333333333333334,0.0,0.0
yolo26s_det,2,tyre_tread_equal,3,0.8333333333333334,0.0,0.0
yolo26s_seg,0,full,3,1.0,0.0,0.0
yolo26s_seg,0,full_tyre_tread_equal,3,1.0,0.0,0.0
yolo26s_seg,0,tread_only,3,1.0,0.0,0.0
yolo26s_seg,0,tyre_only,3,1.0,0.0,0.0
yolo26s_seg,0,tyre_tread_equal,3,1.0,0.0,0.0
yolo26s_seg,1,full,3,0.7044725602196866,0.0,0.0
yolo26s_seg,1,full_tyre_tread_equal,3,0.6835333304227484,-0.02093922979693828,0.2449447738954896
yolo26s_seg,1,tread_only,3,0.7178426053251471,0.013370045105460396,0.22934119460546834
yolo26s_seg,1,tyre_only,3,0.6487585157519798,-0.05571404446770687,0.34725690789172775
yolo26s_seg,1,tyre_tread_equal,3,0.678072272243217,-0.02640028797646976,0.3007880873886243
yolo26s_seg,2,full,3,0.8333333333333334,0.0,0.0
yolo26s_seg,2,full_tyre_tread_equal,3,0.8333333333333334,0.0,0.0
yolo26s_seg,2,tread_only,3,0.8333333333333334,0.0,0.0
yolo26s_seg,2,tyre_only,3,0.8333333333333334,0.0,0.0
yolo26s_seg,2,tyre_tread_equal,3,0.8333333333333334,0.0,0.0
